student,criterion,max,human,sonnet_ind,sonnet_all,opus_ind,opus_all
Alma,compact_operation,10,7.0,8,8,9,9
Alma,detailed_functionality,10,9.0,8,8,8,8
Alma,roles_and_permissions,5,5.0,5,4,5,5
Alma,communication,10,10.0,7,5,7,7
Alma,data_management_and_architecture,5,5.0,3,2,3,3
Alma,architecture,10,9.0,8,8,9,9
Alma,maintainability,10,8.0,8,7,8,9
Alma,error_handling,5,4.0,4,4,4,4
Alma,quality_and_reliability,5,5.0,4,3,3,3
Alma,ui_and_ux,5,4.0,5,4,5,5
Alma,mobility,10,6.0,8,3,7,6
Alma,deployment_documentation,5,5.0,5,5,5,5
Alma,repository_structure,5,5.0,5,5,5,5
Alma,innovation,5,4.0,4,4,3,5
Barack,compact_operation,10,9.0,8,7,8,9
Barack,detailed_functionality,10,8.0,9,9,8,10
Barack,roles_and_permissions,5,5.0,5,5,5,5
Barack,communication,10,10.0,7,6,6,7
Barack,data_management_and_architecture,5,5.0,3,2,2,2
Barack,architecture,10,9.0,9,6,6,6
Barack,maintainability,10,9.0,8,7,7,7
Barack,error_handling,5,5.0,3,3,4,4
Barack,quality_and_reliability,5,4.5,3,3,2,3
Barack,ui_and_ux,5,4.0,4,5,5,5
Barack,mobility,10,8.0,8,8,7,10
Barack,deployment_documentation,5,5.0,5,4,5,5
Barack,repository_structure,5,5.0,5,5,5,5
Barack,innovation,5,4.0,4,5,4,4
Citrom,compact_operation,10,6.0,8,6,8,7
Citrom,detailed_functionality,10,5.0,7,7,8,5
Citrom,roles_and_permissions,5,5.0,5,4,5,4
Citrom,communication,10,6.0,6,4,6,6
Citrom,data_management_and_architecture,5,3.0,3,1,2,2
Citrom,architecture,10,6.5,7,5,6,5
Citrom,maintainability,10,8.0,7,6,7,7
Citrom,error_handling,5,3.0,3,2,2,3
Citrom,quality_and_reliability,5,4.0,3,2,3,3
Citrom,ui_and_ux,5,2.0,3,3,3,4
Citrom,mobility,10,6.0,6,5,6,6
Citrom,deployment_documentation,5,5.0,5,4,5,5
Citrom,repository_structure,5,5.0,5,4,5,4
Citrom,innovation,5,2.0,4,4,4,5
Datolya,compact_operation,10,10.0,9,8,9,10
Datolya,detailed_functionality,10,9.0,9,10,9,10
Datolya,roles_and_permissions,5,5.0,5,5,5,5
Datolya,communication,10,10.0,7,8,8,10
Datolya,data_management_and_architecture,5,5.0,3,3,3,3
Datolya,architecture,10,9.0,9,9,10,9
Datolya,maintainability,10,8.0,8,8,8,8
Datolya,error_handling,5,4.0,4,5,5,5
Datolya,quality_and_reliability,5,5.0,3,5,5,5
Datolya,ui_and_ux,5,5.0,5,4,5,5
Datolya,mobility,10,7.0,7,2,9,9
Datolya,deployment_documentation,5,4.0,3,5,5,5
Datolya,repository_structure,5,5.0,5,5,5,5
Datolya,innovation,5,5.0,4,5,2,5
Eper,compact_operation,10,5.0,7,6,7,6
Eper,detailed_functionality,10,4.0,6,7,6,6
Eper,roles_and_permissions,5,5.0,4,4,5,4
Eper,communication,10,5.0,5,3,6,3
Eper,data_management_and_architecture,5,5.0,3,1,2,2
Eper,architecture,10,6.0,6,4,6,4
Eper,maintainability,10,10.0,6,5,7,5
Eper,error_handling,5,2.0,3,2,3,4
Eper,quality_and_reliability,5,5.0,3,4,2,4
Eper,ui_and_ux,5,2.0,3,3,3,3
Eper,mobility,10,0.0,2,1,0,1
Eper,deployment_documentation,5,5.0,4,5,5,5
Eper,repository_structure,5,5.0,3,3,3,4
Eper,innovation,5,2.0,1,2,1,2
Kivi,compact_operation,10,8.0,8,7,9,9
Kivi,detailed_functionality,10,9.0,9,8,9,8
Kivi,roles_and_permissions,5,5.0,5,5,5,5
Kivi,communication,10,10.0,7,6,8,8
Kivi,data_management_and_architecture,5,4.0,5,5,5,5
Kivi,architecture,10,10.0,9,9,10,10
Kivi,maintainability,10,8.0,8,8,9,9
Kivi,error_handling,5,4.0,4,4,5,5
Kivi,quality_and_reliability,5,5.0,4,5,5,5
Kivi,ui_and_ux,5,3.0,4,3,5,5
Kivi,mobility,10,5.0,7,7,8,6
Kivi,deployment_documentation,5,5.0,4,5,5,5
Kivi,repository_structure,5,5.0,5,5,5,5
Kivi,innovation,5,4.0,3,5,4,5
Szilva,compact_operation,10,6.0,6,6,6,5
Szilva,detailed_functionality,10,4.0,4,6,6,5
Szilva,roles_and_permissions,5,4.0,4,4,3,2
Szilva,communication,10,9.0,4,4,5,5
Szilva,data_management_and_architecture,5,4.0,2,1,2,2
Szilva,architecture,10,7.0,7,5,8,4
Szilva,maintainability,10,5.0,7,6,8,4
Szilva,error_handling,5,4.0,3,3,3,3
Szilva,quality_and_reliability,5,1.0,2,2,1,1
Szilva,ui_and_ux,5,2.0,3,3,3,4
Szilva,mobility,10,6.0,7,6,6,8
Szilva,deployment_documentation,5,3.0,2,4,4,4
Szilva,repository_structure,5,5.0,3,4,3,4
Szilva,innovation,5,2.0,1,3,2,3
